Film,Rule,Class
Age of Ultron,"whenver anyone says ""Ultron""",S
Age of Ultron,"whenver anyone says ""Avengers""",S
Age of Ultron,whenver anyone mentions “bad language”,S
Age of Ultron,whenver there is Hulk and Black Widow sexual tension,M
Age of Ultron,whenver Infinity stones are seen or referenced,M
Age of Ultron,when Vision awakens,L
Age of Ultron,when Quicksilver dies,L
Age of Ultron,whenver there is an explosion,S
Age of Ultron,at the inevitable Stan Lee cameo,L
Age of Ultron,whenver Nick Fury is sassy,S
Age of Ultron,whenever someone mentions a fictional location,S
Age of Ultron,at the first appearance of a blatently CG villain,M
Age of Ultron,whenever Hydra are mentioned,S
Age of Ultron,whenever Captain America's shield disregards the laws of physics,S
Age of Ultron,when the primary villain is defeated,L
Age of Ultron,whenever any character drinks anything,S
Age of Ultron,whenever Howard Stark appears or is mentioned,S
Age of Ultron,whenever anyone fires a laser beam or energy weapon,S
Age of Ultron,"at the first ""epic"" shot of the hero(es)",L
Age of Ultron,whenever there is an unexpectedly comical moment,M
Age of Ultron,your chosen hero uses their powers (each pick a separate hero at the start),M
Age of Ultron,whenever Thor throws or spins his hammer,S
Ant-Man,at every bug or size pun,M
Ant-Man,whenver Scott says he no longer steals,M
Ant-Man,whenver a lock is entered or broken (This includes jumping through the hole itself),M
Ant-Man,"whenver the words ""Ant-Man"" and ""Yellow Jacket"" are said",S
Ant-Man,"whenver tea, coffee or waffles are shown",S
Ant-Man,when you see a new type of ant,M
Ant-Man,when the hero is in their super-suit for the first time,M
Ant-Man,whenver there is an explosion,S
Ant-Man,at the inevitable Stan Lee cameo,L
Ant-Man,whenever someone mentions a fictional location,S
Ant-Man,when the primary villain is defeated,L
Ant-Man,whenever any character drinks anything,S
Ant-Man,whenever Howard Stark appears or is mentioned,S
Ant-Man,when the name of the film is said by a character for the first time,L
Ant-Man,whenever anyone fires a laser beam or energy weapon,S
Ant-Man,"at the first ""epic"" shot of the hero(es)",L
Ant-Man,whenever there is an unexpectedly comical moment,M
Ant-Man,whenever Ant-man changes size,S
Ant-Man,whenever an Avenger not named in title appears,M
Ant-Man and the Wasp,"whenver the words ""Quantum"", ""Lab"" or ""House"" are said",S
Ant-Man and the Wasp,whenver Germany is referenced,M
Ant-Man and the Wasp,whenver the police show up or are pursuing them,M
Ant-Man and the Wasp,"whenver scott is ""possessed""",M
Ant-Man and the Wasp,when Scott becomes giant,L
Ant-Man and the Wasp,when the hero is in their super-suit for the first time,M
Ant-Man and the Wasp,whenver there is an explosion,S
Ant-Man and the Wasp,at the inevitable Stan Lee cameo,L
Ant-Man and the Wasp,"whenever a ""Real"" song plays",M
Ant-Man and the Wasp,whenever someone mentions a fictional location,S
Ant-Man and the Wasp,at the first appearance of a blatently CG villain,M
Ant-Man and the Wasp,when the primary villain is defeated,L
Ant-Man and the Wasp,whenever any character drinks anything,S
Ant-Man and the Wasp,whenever anyone fires a laser beam or energy weapon,S
Ant-Man and the Wasp,"at the first ""epic"" shot of the hero(es)",L
Ant-Man and the Wasp,whenever there is an unexpectedly comical moment,M
Ant-Man and the Wasp,whenever Ant-man changes size,S
Black Panther,"whenver someone says ""Vibranium"" or ""Wakanda""",S
Black Panther,whenver a previously unmentioned use for vibranium is revealed.,M
Black Panther,whenver a suit does an energy blast,S
Black Panther,whenver a spear is extended,S
Black Panther,whenver there is a flashback or someone travels to the ancestor realm,M
Black Panther,when we find out who Killmonger really is,L
Black Panther,whenver we see the heart-shaped herb,M
Black Panther,"whenver  anyone says ""Wakanda Forever!""",S
Black Panther,when the hero is in their super-suit for the first time,M
Black Panther,whenver there is an explosion,S
Black Panther,at the inevitable Stan Lee cameo,L
Black Panther,whenever someone mentions a fictional location,S
Black Panther,when the primary villain is defeated,L
Black Panther,whenever any character drinks anything,S
Black Panther,when the name of the film is said by a character for the first time,L
Black Panther,whenever anyone fires a laser beam or energy weapon,S
Black Panther,"at the first ""epic"" shot of the hero(es)",L
Black Panther,whenever someone enters or drives a spaceship/futuristic vehicle,S
Black Panther,whenever there is an unexpectedly comical moment,M
Black Panther,whenever there is slow motion,M
Captain America: The First Avenger,whenever there is any reference to Hitler or the Nazis,M
Captain America: The First Avenger,when Steve gets shredded,L
Captain America: The First Avenger,whenver someone mentions Brooklyn,M
Captain America: The First Avenger,whenver Captain America throws his Shield,S
Captain America: The First Avenger,when Red Skull reveals his red skull,L
Captain America: The First Avenger,when the hero is in their super-suit for the first time,M
Captain America: The First Avenger,whenver there is an explosion,S
Captain America: The First Avenger,at the inevitable Stan Lee cameo,L
Captain America: The First Avenger,at the first appearance of a blatently CG villain,M
Captain America: The First Avenger,whenever Hydra are mentioned,S
Captain America: The First Avenger,whenever Captain America's shield disregards the laws of physics,S
Captain America: The First Avenger,when the primary villain is defeated,L
Captain America: The First Avenger,whenever any character drinks anything,S
Captain America: The First Avenger,whenever Howard Stark appears or is mentioned,S
Captain America: The First Avenger,when the name of the film is said by a character for the first time,L
Captain America: The First Avenger,whenever anyone fires a laser beam or energy weapon,S
Captain America: The First Avenger,"at the first ""epic"" shot of the hero(es)",L
Captain America: The First Avenger,whenever there is an unexpectedly comical moment,M
Captain America: The First Avenger,whenever there is slow motion,M
Captain America: The Winter Soldier,whenver anyone talks about trust,S
Captain America: The Winter Soldier,whenver glass shatters,S
Captain America: The Winter Soldier,when Bucky catches Cap's shield,L
Captain America: The Winter Soldier,whenver someone previously thought dead is shown to be alive,M
Captain America: The Winter Soldier,"whenver anyone says ""freedom"", ""order"" or ""chaos""",S
Captain America: The Winter Soldier,at that cool knife drop switch in the fight between bucky and cap,M
Captain America: The Winter Soldier,whenver Natasha tries to have a normal conversation with Steve,M
Captain America: The Winter Soldier,whenver there is an explosion,S
Captain America: The Winter Soldier,at the inevitable Stan Lee cameo,L
Captain America: The Winter Soldier,whenver Nick Fury is sassy,S
Captain America: The Winter Soldier,whenever Hydra are mentioned,S
Captain America: The Winter Soldier,whenever Captain America's shield disregards the laws of physics,S
Captain America: The Winter Soldier,when the primary villain is defeated,L
Captain America: The Winter Soldier,whenever any character drinks anything,S
Captain America: The Winter Soldier,whenever Howard Stark appears or is mentioned,S
Captain America: The Winter Soldier,when the name of the film is said by a character for the first time,L
Captain America: The Winter Soldier,whenever anyone fires a laser beam or energy weapon,S
Captain America: The Winter Soldier,"at the first ""epic"" shot of the hero(es)",L
Captain America: The Winter Soldier,whenever there is an unexpectedly comical moment,M
Captain America: The Winter Soldier,"whenever a ""good"" character is shockingly revealed to be evil!",L
Captain Marvel,"whenver the words ""Lawson"", ""Pegasus"" or ""Skroll"" are said",S
Captain Marvel,whenver a misogynistic comment is made,M
